"Machine_Title","Machine Price","Machine Type","Primary Color","Product Summary","Special Feature","Week Avg. Cups","Week Avg. Espressos","__PowerAppsId__","URL","stocks","City","MID"
"idap barista","122","Commercial Espresso Machines","Red","The Cafe S-100 Semiautomatic is in a league of its own when it comes to the functionality, style and available customizations. This well-designed commercial espresso machine produces high quality and consistent espresso. It's the perfect size for a small to mid-sized cafe with light to moderate traffic.","App Connectivity","	1-50","100-200","e905a4b1-cbeb-4756-b896-1ce3b04f0af6","https://bucket-smeg.4flow.cloud/OBJECTS/JPG%2072%20dpi/EGF03BLUK.jpg","0","Gujrat",
"Cafe S-200 Semi-Automatic","19,900","Commercial Espresso Machines","Red","A lower profile invites customer engagement in a cafe setting, while also providing the barista an open, expansive work area. It's the perfect size for a mid-sized to large cafe with moderate to heavy traffic.","App Connectivity","	1-50","100-200","2dc1f78c-fab6-4495-9b37-7f66fd15d0d4","https://i.pinimg.com/originals/26/55/5f/26555fb8ad88798b86019b58dc89c908.jpg","0","Quetta",
"Cafe Lite","9,900","Commercial Espresso Machines","Red","Dead-simple programming, care and maintenance can be yours alongside a price point perfect for beginning baristas and small coffee shops alike.","App Connectivity","	1-50","1-100","37dfa437-0824-448c-a59f-cf37f29e0a40","https://m.media-amazon.com/images/I/71vW4gIeG8L._SL640_.jpg","0","Gujrat",
"Cafe Duo","12,900","Commercial Espresso Machines","Red","Providing high quality espresso and coffee for large and small shops alike, the Cafe Duo best accommodates smaller operations that serve a range of 50-80 drinks per day.","App Connectivity","	1-50","1-100","fdeb2a1c-8041-4473-b79d-688e669f078e","https://buywisely.com.au/_next/image?url=https:%2F%2Fencrypted-tbn3.gstatic.com%2Fshopping%3Fq%3Dtbn:ANd9GcSgaWuEUYym2GhnWZUvCZIC-MkxmYlc4NEFz8kfo__UdsT12W185R8Q_mit0MhUAKj49uIOhS8YPbaIffAGg5d7DOHsmYBy9SBnZ1Iw_YQUFAIMkUBqUS5d%26usqp%3DCAY&w=640&q=75","0","Gujrat",
"Cafe Grande","14,900","Commercial Espresso Machines","Red","Keep brewing through the busiest crowds with the simple design and user-friendly features of the Cafe Grande.","App Connectivity","	1-50","100-200","06db1f83-ca08-444f-9a6b-dbcac5b963cc","https://i5.walmartimages.com/asr/1892ab60-1261-4b1c-921e-a31e8a216fa2.ce2d00e3a1ddcc7544a7471b74bd5831.jpeg","9","Multan",
"Cafe Corto","16,900","Commercial Espresso Machines","Red","Featuring an eye-catching design and lower profile to invite customer engagement, the Cafe Corto is a cutting-edge café centerpiece that encourages engagement, barista experimentation and coffee conversations, while delivering the world’s best coffee extraction.","App Connectivity","	1-50","1-100","7f39f42b-98e4-4516-b32a-bff582778049","https://www.smeg.com/binaries/content/gallery/hoc/product/product_p3_egf03.jpg","1","Peshawar",
"Cafe A-100 Automatic","21,900","Commercial Espresso Machines","Silver","The Cafe A-100 Automatic is the ideal machine for baristas looking for amazingly consistent coffee. This machine allows baristas to program desired volumes and consistently pull shots at that volume throughout the day. Because the barista no longer has to monitor each and every shot, they are given precious time to interact with customers or perhaps begin another order.","App Connectivity","	1-50","100-200","f2e90f99-a6f9-4038-9beb-79bd4803846a","https://i5.walmartimages.com/asr/1164257c-342a-4226-bab3-5286a4026a75.52390816a7a3bf7fa87e2293df208ffd.jpeg","2","Gujrat",
"Cafe A-200 Automatic","23,900","Commercial Espresso Machines","Silver","Modern convenience and technology in espresso culminate in the Cafe A-200 Automatic Espresso Machine. Featuring a touch-screen display and companion app that puts full control of your coffee quality into a simple operating system.","App Connectivity","	1-50","100-200","3ca76c42-558c-4bfc-8590-9bff4a6cdd5b","https://buywisely.com.au/_next/image?url=%2Fimages%2Fkmart-espresso-machine.webp&w=640&q=75","16","Multan",
"Cafe S-100 Semi-Automatic","17,900","Commercial Espresso Machines","Silver","The Cafe S-100 Semiautomatic is in a league of its own when it comes to the functionality, style and available customizations. This well-designed commercial espresso machine produces high quality and consistent espresso. It's the perfect size for a small to mid-sized cafe with light to moderate traffic.","App Connectivity","	1-50","100-200","d4672656-3b90-4d59-b6c0-fda0143a9830","https://bucket-smeg.4flow.cloud/OBJECTS/JPG%2072%20dpi/EGF03BLUK.jpg","18","Peshawar",
"Cafe S-200 Semi-Automatic","19,900","Commercial Espresso Machines","Silver","A lower profile invites customer engagement in a cafe setting, while also providing the barista an open, expansive work area. It's the perfect size for a mid-sized to large cafe with moderate to heavy traffic.","App Connectivity","	1-50","100-200","b07fb163-1a65-4ab9-b005-3447244a439c","https://i.pinimg.com/originals/26/55/5f/26555fb8ad88798b86019b58dc89c908.jpg","13","Karachi",
"Cafe Lite","9,900","Commercial Espresso Machines","Silver","Dead-simple programming, care and maintenance can be yours alongside a price point perfect for beginning baristas and small coffee shops alike.","App Connectivity","	1-50","1-100","66991957-9a8b-4bcc-b7d4-69b2509e7964","https://m.media-amazon.com/images/I/71vW4gIeG8L._SL640_.jpg","3","Gujrat",
"Cafe Duo","12,900","Commercial Espresso Machines","Silver","Providing high quality espresso and coffee for large and small shops alike, the Cafe Duo best accommodates smaller operations that serve a range of 50-80 drinks per day.","App Connectivity","	1-50","1-100","8091ee54-9576-4b18-9d64-62fa21af2ea4","https://buywisely.com.au/_next/image?url=https:%2F%2Fencrypted-tbn3.gstatic.com%2Fshopping%3Fq%3Dtbn:ANd9GcSgaWuEUYym2GhnWZUvCZIC-MkxmYlc4NEFz8kfo__UdsT12W185R8Q_mit0MhUAKj49uIOhS8YPbaIffAGg5d7DOHsmYBy9SBnZ1Iw_YQUFAIMkUBqUS5d%26usqp%3DCAY&w=640&q=75","15","Gujrat",
"Cafe Grande","14,900","Commercial Espresso Machines","Silver","Keep brewing through the busiest crowds with the simple design and user-friendly features of the Cafe Grande.","App Connectivity","	1-50","100-200","91222838-413d-4487-985e-29c35d31ca18","https://i5.walmartimages.com/asr/1892ab60-1261-4b1c-921e-a31e8a216fa2.ce2d00e3a1ddcc7544a7471b74bd5831.jpeg","13","Lahore",
"Cafe Corto","16,900","Commercial Espresso Machines","Silver","Featuring an eye-catching design and lower profile to invite customer engagement, the Cafe Corto is a cutting-edge café centerpiece that encourages engagement, barista experimentation and coffee conversations, while delivering the world’s best coffee extraction.","App Connectivity","	1-50","1-100","ea7b0040-c1e2-4594-8b97-548f73d664a1","https://www.smeg.com/binaries/content/gallery/hoc/product/product_p3_egf03.jpg","11","Multan",
"Smart Brew 300","499","At Home Coffee Makers","Black","The Smart Brew 300 offers both espresso and coffee brewing in one device, with inherent intelligence that self-monitors to ensure that it stays in peak performance. Brewing great-tasting coffee requires a lot of attention to detail and a lot of love. At Contoso, we are dedicated to helping at-home coffee brewers with the machines that they can count on for the perfect cup every time.","Auto-Brew","50-100","1-100","7be8853f-6c79-46a2-b0dd-b037284eeb19","https://dam.delonghi.com/902x902/assets/245528","1","Multan",
"Smart Brew 300","499","At Home Coffee Makers","Blue","The Smart Brew 300 offers both espresso and coffee brewing in one device, with inherent intelligence that self-monitors to ensure that it stays in peak performance. Brewing great-tasting coffee requires a lot of attention to detail and a lot of love. At Contoso, we are dedicated to helping at-home coffee brewers with the machines that they can count on for the perfect cup every time.","Auto-Brew","50-100","1-100","ad842795-e8a7-4bfd-99f4-baf7ced03687","https://dam.delonghi.com/902x902/assets/245528","3","Peshawar",
"Smart Brew 300","499","At Home Coffee Makers","Green","The Smart Brew 300 offers both espresso and coffee brewing in one device, with inherent intelligence that self-monitors to ensure that it stays in peak performance. Brewing great-tasting coffee requires a lot of attention to detail and a lot of love. At Contoso, we are dedicated to helping at-home coffee brewers with the machines that they can count on for the perfect cup every time.","Auto-Brew","50-100","1-100","d9d3a557-0381-4f93-b51d-e9a831015098","https://dam.delonghi.com/902x902/assets/245528","5","Lahore",
"Smart Brew 300","499","At Home Coffee Makers","Red","The Smart Brew 300 offers both espresso and coffee brewing in one device, with inherent intelligence that self-monitors to ensure that it stays in peak performance. Brewing great-tasting coffee requires a lot of attention to detail and a lot of love. At Contoso, we are dedicated to helping at-home coffee brewers with the machines that they can count on for the perfect cup every time.","Auto-Brew","50-100","1-100","42f70b1f-8b92-4c55-bc91-af1f4ced555f","https://dam.delonghi.com/902x902/assets/245528","2","Multan",
"Smart Brew 300","499","At Home Coffee Makers","White","The Smart Brew 300 offers both espresso and coffee brewing in one device, with inherent intelligence that self-monitors to ensure that it stays in peak performance. Brewing great-tasting coffee requires a lot of attention to detail and a lot of love. At Contoso, we are dedicated to helping at-home coffee brewers with the machines that they can count on for the perfect cup every time.","Auto-Brew","50-100","1-100","2a27bcf0-b581-4b5f-b89d-20154d8c1c76","https://dam.delonghi.com/902x902/assets/245528","19","Lahore",
"Travel Brew 100","349","At Home Coffee Makers","Blue","The Travel Brew 100 is equipped with cutting edge coffee technology to give you hotter coffee without sacrificing taste.","Auto-Brew","50-100","1-100","1adf7b3c-ab77-403b-9ec3-8f37e95f556f","https://i.pinimg.com/originals/0c/20/75/0c2075bd9632e006cc9c7f7531b796aa.jpg","4","Sialkot",
"Travel Brew 100","349","At Home Coffee Makers","Green","The Travel Brew 100 is equipped with cutting edge coffee technology to give you hotter coffee without sacrificing taste.","Auto-Brew","50-100","1-100","949f3c93-272f-45f8-8995-5f985e4d8687","https://i.pinimg.com/originals/0c/20/75/0c2075bd9632e006cc9c7f7531b796aa.jpg","16","Peshawar",
"Travel Brew 100","349","At Home Coffee Makers","Red","The Travel Brew 100 is equipped with cutting edge coffee technology to give you hotter coffee without sacrificing taste.","Auto-Brew","50-100","1-100","fa89acd6-cdba-48d8-9b9e-35d28252624f","https://i.pinimg.com/originals/0c/20/75/0c2075bd9632e006cc9c7f7531b796aa.jpg","15","Gujrat",
"Precision Brew 100","449","At Home Coffee Makers","Black","Wake up each and every morning to a fragrant, freshly brewed pot of coffee when you use the fully programable Precision Brew 100.","Auto-Brew","50-100","1-100","32d36b2a-7786-400d-8308-c8ff07a1808e","https://m.media-amazon.com/images/I/71nzEwfsb-L.jpg","19","Quetta",
